time(UTC),error,lowalarm,highalarm,Accumulated Real Energy Net (kWh),"Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)",Reactive Energy Quadrant 1 (VARh),Reactive Energy Quadrant 2 (VARh),Reactive Energy Quadrant 3 (VARh),Reactive Energy Quadrant 4 (VARh),Apparent Energy Net (VAh),Apparent Energy Quadrants 1 & 4 (VAh),Apparent Energy Quadrants 2 & 3 (VAh),Total Net Instantaneous Real Power (kW),Total Net Instantaneous Reactive Power (kVAR),Total Net Instantaneous Apparent Power (kVA),Total Power Factor,"Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)",Frequency (Hz),Total Real Power Present Demand (kW),Total Reactive Power Present Demand (kVAR),Total Apparent Power Present Demand (kVA),"Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
9/11/2023 11:00,0,0,0,349767.38,349794.53,27.16,18919.69,2516.56,0.43,12234.19,367401.47,367832.28,430.82,0.01,0.24,0.24,0.05,346.07,185.7,0.3,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.36,58611.09,4.65,4.34,18.17,7359.03,8809.16,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.61,154690.59,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.02,0.06,1,481.21,278.45,278.54,278.5,278.45,0.15,0.35,0.54,0
9/11/2023 11:15,0,0,0,349767.38,349794.53,27.16,18919.75,2516.56,0.43,12234.19,367401.53,367832.34,430.82,0.01,0.23,0.23,0.06,345.16,185.18,0.3,60,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.36,58611.09,4.65,4.34,18.17,7359.05,8809.2,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.64,154690.63,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.04,0.07,1,480.04,277.75,277.69,277.65,277.75,0.15,0.34,0.54,0
9/11/2023 11:30,0,0,0,349767.38,349794.53,27.16,18919.81,2516.56,0.43,12234.19,367401.56,367832.38,430.82,0.01,0.23,0.23,0.05,344.98,185.09,0.3,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.36,58611.09,4.65,4.34,18.17,7359.07,8809.24,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.66,154690.67,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1,479.78,277.57,277.61,277.55,277.58,0.15,0.35,0.54,0.01
9/11/2023 11:45,0,0,0,349767.38,349794.53,27.16,18919.86,2516.56,0.43,12234.19,367401.63,367832.44,430.82,0.01,0.23,0.23,0.06,344.81,185.01,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.36,58611.09,4.65,4.34,18.17,7359.1,8809.27,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.69,154690.72,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1,479.42,277.49,277.34,277.29,277.5,0.15,0.34,0.54,0
9/11/2023 12:00,0,0,0,349767.38,349794.53,27.16,18919.92,2516.56,0.43,12234.19,367401.69,367832.5,430.82,0.01,0.23,0.23,0.05,344.87,185.06,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.36,58611.09,4.65,4.34,18.17,7359.12,8809.31,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.7,154690.75,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1,479.54,277.49,277.59,277.53,277.51,0.15,0.34,0.54,0
9/11/2023 12:15,0,0,0,349767.38,349794.53,27.16,18919.98,2516.56,0.43,12234.19,367401.75,367832.56,430.82,0.01,0.23,0.23,0.05,344.2,184.69,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.39,58611.09,4.65,4.34,18.17,7359.14,8809.34,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.72,154690.78,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.02,0.07,1,478.64,277.01,276.96,276.9,277.02,0.15,0.34,0.54,0
9/11/2023 12:30,0,0,0,349767.38,349794.53,27.16,18920.04,2516.56,0.43,12234.19,367401.81,367832.63,430.82,0.02,0.22,0.22,0.08,344.01,184.61,0.28,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.39,58611.09,4.65,4.34,18.17,7359.16,8809.38,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.75,154690.83,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.13,0,0.09,0.13,0,0.05,0.1,1,478.32,276.79,276.92,276.88,276.8,0.15,0.33,0.52,0
9/11/2023 12:45,0,0,0,349767.41,349794.56,27.16,18920.09,2516.56,0.43,12234.19,367401.84,367832.66,430.82,0.01,0.23,0.23,0.04,344.01,184.6,0.28,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.39,58611.09,4.65,4.34,18.17,7359.19,8809.41,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.77,154690.86,60485.52,241.17,83.94,2197.47,0,0.01,0,0.09,0.14,0,0.09,0.14,0,0.01,0.06,1,478.73,277.1,277.09,277.05,277.11,0.15,0.35,0.54,0
9/11/2023 13:00,0,0,0,349767.41,349794.56,27.16,18920.15,2516.56,0.43,12234.19,367401.91,367832.72,430.82,0.05,0.16,0.17,0.28,343.62,184.36,0.84,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.09,147097.39,58611.09,4.65,4.34,18.17,7359.21,8809.45,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.78,154690.89,60485.52,241.17,83.94,2197.47,0.04,0.01,0,0.01,0.15,0,0.04,0.15,0,0.93,0.06,1,477.87,276.49,276.5,276.44,276.49,0.15,1.94,0.56,0.02
9/11/2023 13:15,0,0,0,349767.44,349794.59,27.16,18920.19,2516.56,0.43,12234.19,367401.97,367832.78,430.82,0.35,-0.03,0.36,1,345.07,185.15,1.32,60.01,0.06,0.18,0.2,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.11,147097.39,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.91,872.52,150651.81,154690.92,60485.52,241.17,83.94,2197.47,0.17,0.19,0,0.01,-0.03,0,0.17,0.19,0,1,0.98,1,479.84,277.78,277.58,277.53,277.78,0.15,2.02,1.89,0.04
